table_name,column_ordinal,column_name,declared_type,is_not_null,pk_position
COM_InternalStoreVisit,0,InternalStoreVisitID,INT,1,0
COM_InternalStoreVisit,1,FileRowId,INT,1,0
COM_InternalStoreVisit,2,StartTime,datetime,0,0
COM_InternalStoreVisit,3,CompletionTime,datetime,0,0
COM_InternalStoreVisit,4,Email,varchar(300),0,0
COM_InternalStoreVisit,5,Name,varchar(300),0,0
COM_InternalStoreVisit,6,StoreVisitDate,datetime,0,0
COM_InternalStoreVisit,7,StoreVisitTime,varchar(10),0,0
COM_InternalStoreVisit,8,StoreNumber,varchar(30),0,0
COM_InternalStoreVisit,9,AssociateNameAndEmail,varchar(2000),0,0
COM_InternalStoreVisit,10,AssociateGoOverSalesNumber,varchar(200),0,0
COM_InternalStoreVisit,11,AssociateComfortableWithSystem,varchar(200),0,0
COM_InternalStoreVisit,12,CurrentPromoReviewed,varchar(300),0,0
COM_InternalStoreVisit,13,MissingOrOutdatedSamples,varchar(2000),0,0
COM_InternalStoreVisit,14,AssociateOpinionAboutFabricator,varchar(3000),0,0
COM_InternalStoreVisit,15,ResetTakingPlace,varchar(200),0,0
COM_InternalStoreVisit,16,RetailStore,varchar(200),0,0
COM_InternalStoreVisit,17,AssociateHaveMetisMembershipLogin,varchar(300),0,0
COM_InternalStoreVisit,18,HostedEventType,varchar(300),0,0
COM_InternalStoreVisit,19,AdditionalCustomerFeedback,varchar(3000),0,0
COM_InternalStoreVisit,20,AdditionalFeedback,varchar(3000),0,0
COM_InternalStoreVisit,21,VisitType,varchar(20),0,0
COM_InternalStoreVisit,22,ResolvedActionsTaked,varchar(200),0,0
COM_InternalStoreVisit,23,CabinetInstaller,varchar(300),0,0
COM_InternalStoreVisit,24,LinkForVisitPhotos,varchar(3000),0,0
COM_LCZLookup,0,LCZLookupID,INT,1,0
COM_LCZLookup,1,CompanyId,INT,1,0
COM_LCZLookup,2,ZipCode,varchar(5),1,0
COM_Location,0,LocationID,INT,1,0
COM_Location,1,CompanyID,INT,1,0
COM_Location,2,LocationCode,varchar(30),1,0
COM_Location,3,LocationName,varchar(300),1,0
COM_Location,4,Address1,varchar(256),0,0
COM_Location,5,Address2,varchar(256),0,0
COM_Location,6,Zip,varchar(30),0,0
COM_Location,7,City,varchar(128),0,0
COM_Location,8,State,varchar(20),0,0
COM_Location,9,CountryCode,varchar(2),0,0
COM_Location,10,Phone,varchar(100),0,0
COM_Location,11,Fax,varchar(100),0,0
COM_Location,12,DefaultLocationFlag,bit,1,0
COM_Location,13,ExcludeFromPortal,bit,1,0
COM_Location,14,CreatedBy,varchar(50),1,0
COM_Location,15,CreatedOn,datetime2(2),1,0
COM_Location,16,LastUpdatedBy,varchar(50),1,0
COM_Location,17,LastUpdatedOn,datetime2(2),1,0
COM_Location,18,TaxRate,"decimal(7,6)",0,0
COM_Location,19,TaxExemptNbr,varchar(64),0,0
COM_Location,20,Inactive,bit,1,0
COM_Location,21,ContactName,varchar(40),0,0
COM_Location,22,WillCall,bit,0,0
COM_Location,23,Lat,"decimal(11,8)",0,0
COM_Location,24,Lon,"decimal(11,8)",0,0
COM_Location,25,ShowroomHours,varchar(300),0,0
COM_Location,26,LocationMapAwsS3Key,varchar(45),0,0
COM_LocationFreightCustomerType,0,LocationFreightCustomerTypeID,INT,1,0
COM_LocationFreightCustomerType,1,LocationID,INT,1,0
